AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_NETAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2024|2|H|MANABI|JUNIN|53190,9700|97944,8900|0,0000|57876,6200|71789,7300|0,0000|40,0000|129706,3500|151135,8600
2024|2|L|LOS RIOS|VINCES|281178,1200|444463,7100|0,0000|331012,5400|317306,2500|0,0000|0,0000|648318,7900|725641,8300
2024|2|S|TUNGURAHUA|CEVALLOS|232526,4700|37889,0000|0,0000|227691,4000|1586,6800|0,0000|16757,5300|246035,6100|270415,4700
2024|2|Q|MANABI|JAMA|760,1500|9198,3300|0,0000|3513,4700|5542,0800|0,0000|0,0000|9055,5500|9958,4800
2024|2|R|EL ORO|PIÑAS|8065,9100|3940,8700|0,0000|6041,4600|357,6600|0,0000|742,0000|7141,1200|12006,7800
2024|2|R|GUAYAS|PLAYAS|100,0000|0,1000|0,0000|99,0000|0,0000|0,0000|0,0000|99,0000|100,1000
2024|2|N|ZAMORA CHINCHIPE|YACUAMBI|21489,4000|250,0000|0,0000|12600,6300|0,0000|181,7100|0,0000|12782,3400|21739,4000
2024|2|A|ESMERALDAS|ELOY ALFARO|99537,1200|629881,6000|0,0000|159862,1200|270940,6700|3290,0500|2257,3900|436500,2300|730233,8000
2024|2|N|LOJA|MACARA|31349,8200|30373,0700|0,0000|36394,9800|6977,1700|7353,6000|2589,3500|53315,1000|61722,8900
2024|2|C|GUAYAS|NOBOL|1792261,8000|2408389,2600|3910029,5400|2295606,3700|956660,4200|4551180,2700|31543,1000|7834990,1600|8110680,6000
2024|2|O|GUAYAS|SAMBORONDON|298488,1700|1227097,5200|0,0000|2599582,4500|211954,0200|0,0000|49945,6600|2861482,1300|1525585,6900
